ICP,Component Serial number,Registry Channel Number,Read Date,12:01am-12:30am,12:31am-1:00am,1:01am-1:30am,1:31am-2:00am,2:01am-2:30am,2:31am-3:00am,3:01am-3:30am,3:31am-4:00am,4:01am-4:30am,4:31am-5:00am,5:01am-5:30am,5:31am-6:00am,6:01am-6:30am,6:31am-7:00am,7:01am-7:30am,7:31am-8:00am,8:01am-8:30am,8:31am-9:00am,9:01am-9:30am,9:31am-10:00am,10:01am-10:30am,10:31am-11:00am,11:01am-11:30am,11:31am-12:00pm,12:01pm-12:30pm,12:31pm-1:00pm,1:01pm-1:30pm,1:31pm-2:00pm,2:01pm-2:30pm,2:31pm-3:00pm,3:01pm-3:30pm,3:31pm-4:00pm,4:01pm-4:30pm,4:31pm-5:00pm,5:01pm-5:30pm,5:31pm-6:00pm,6:01pm-6:30pm,6:31pm-7:00pm,7:01pm-7:30pm,7:31pm-8:00pm,8:01pm-8:30pm,8:31pm-9:00pm,9:01pm-9:30pm,9:31pm-10:00pm,10:01pm-10:30pm,10:31pm-11:00pm,11:01pm-11:31pm,11:31pm-12:00am,Interval_49,Interval_50
0006034071RN1D0,251354585,2,2024-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,1,2024-09-22,1.179,0.681,0.085,0.067,0.079,0.037,0.073,0.04,0.061,0.632,0.045,0.065,0.041,0.052,0.062,0.062,0.137,0.125,0.717,0.471,0.174,0.086,0.115,0.111,0.065,0.059,0.07,0.204,0.535,0.076,0.074,0.077,0.067,0.078,0.077,0.243,0.556,0.663,0.579,0.53,0.526,0.172,1.803,1.568,1.504,1.197,1.187,1.164,,
0006034071RN1D0,251354585,2,2024-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,1,2024-09-21,0.105,0.064,0.072,0.038,0.52,0.039,0.056,0.102,0.554,0.103,0.047,0.053,0.033,0.073,0.066,0.124,0.167,0.038,0.676,0.447,0.146,0.11,0.099,0.096,0.08,0.04,0.068,0.424,0.542,0.469,0.296,0.094,0.046,0.135,0.136,0.082,0.134,0.115,0.161,0.224,0.195,0.147,1.277,1.697,1.446,1.214,1.196,1.192,,
0006034071RN1D0,251354585,2,2024-09-20,0.063,0.052,0.049,0.06,0.047,0.037,0.062,0.036,0.523,0.045,0.046,0.043,0.041,0.164,0.085,0.079,0.077,0.055,0.626,1.227,1.201,1.057,0.138,0.05,0.118,0.054,0.072,0.114,0.081,0.617,0.074,0.065,0.071,0.143,0.071,0.044,0.069,0.118,0.085,0.097,0.071,0.135,0.654,0.635,0.854,0.103,0.094,0.108,,
0006034071RN1D0,251354585,1,2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-19,0.624,0.05,0.055,0.047,0.057,0.045,0.057,0.622,0.045,0.058,0.038,0.07,0.034,0.138,0.097,0.054,0.046,0.054,0.682,1.253,0.631,0.107,0.07,0.052,0.066,0.096,0.156,0.593,0.064,0.059,0.057,0.102,0.076,0.062,0.058,0.058,0.069,0.076,0.131,0.161,0.223,0.159,2.071,1.112,0.383,0.089,0.229,0.466,,
0006034071RN1D0,251354585,1,2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-18,0.044,0.04,0.059,0.52,0.057,0.041,0.033,0.064,0.032,0.033,0.069,0.1,0.327,1.268,0.067,0.059,0.042,0.072,0.625,1.267,0.2,0.055,0.048,0.045,0.044,0.037,0.39,0.32,0.07,0.07,0.054,0.042,0.075,0.087,0.151,0.049,0.06,0.111,0.148,0.159,0.21,0.208,2.508,1.192,1.362,1.223,1.231,1.203,,
0006034071RN1D0,251354585,1,2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-17,0.065,0.053,0.048,0.063,0.035,0.061,0.533,0.056,0.049,0.041,0.058,0.039,1.25,1.157,0.063,0.117,0.109,0.063,0.677,0.129,0.088,0.145,0.121,0.046,0.064,0.043,0.071,0.594,0.07,0.045,0.06,0.052,0.117,0.058,0.136,0.045,0.058,0.048,0.11,0.132,0.117,0.09,3.014,1.513,0.142,0.08,0.051,0.06,,
0006034071RN1D0,251354585,1,2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-16,0.77,0.034,0.094,0.079,0.076,0.043,0.069,0.098,0.577,0.048,0.059,0.043,0.052,0.065,0.037,0.068,0.05,0.084,0.68,0.769,0.968,0.107,0.07,0.333,0.765,0.059,0.053,0.07,0.057,0.078,0.332,0.295,0.138,0.06,0.046,0.096,0.077,0.066,0.051,0.159,0.199,0.154,0.854,0.624,0.742,1.227,1.48,0.29,,
0006034071RN1D0,251354585,1,2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,1,2024-09-15,0.073,0.075,0.049,0.061,0.057,0.051,0.425,0.292,0.06,0.046,0.058,0.044,0.058,0.039,0.063,0.044,0.069,0.105,0.744,0.115,0.076,0.052,0.147,0.149,0.199,0.09,0.078,0.155,0.154,0.875,0.137,0.114,0.089,0.145,0.139,0.917,0.883,0.894,0.877,0.373,0.869,1.138,1.896,1.637,1.423,1.386,1.212,1.171,,
0006034071RN1D0,251354585,2,2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,1,2024-09-14,0.576,0.071,0.045,0.074,0.041,0.069,0.046,0.78,0.2,0.081,0.554,0.116,0.037,0.069,0.039,0.055,0.165,0.053,0.085,1.198,0.232,0.127,0.117,0.522,0.567,0.078,0.091,0.091,0.053,0.064,0.567,0.205,0.045,0.068,0.055,0.115,0.201,0.216,0.537,0.562,0.383,0.343,2.317,2.117,1.232,1.186,1.218,0.412,,
0006034071RN1D0,251354585,2,2024-09-13,0.074,0.039,0.552,0.052,0.06,0.049,0.062,0.047,0.097,0.077,0.053,0.057,0.52,0.141,0.084,0.094,0.057,0.126,0.629,1.188,1.205,1.175,0.088,0.058,0.048,0.121,0.666,0.07,0.097,0.52,0.504,0.261,0.217,0.179,0.198,0.182,0.233,0.29,0.557,0.418,0.368,0.404,2.449,0.757,0.437,0.345,0.218,0.074,,
0006034071RN1D0,251354585,1,2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-12,0.051,0.52,0.106,0.078,0.069,0.049,0.069,0.345,0.173,0.114,0.077,0.54,0.117,0.489,0.18,0.059,0.135,0.154,0.62,1.205,1.185,1.246,1.197,0.601,0.062,0.072,0.127,0.099,0.062,0.08,0.186,0.555,0.077,0.11,0.066,0.097,0.063,0.09,0.124,0.207,0.17,0.202,2.2,1.026,0.151,0.142,0.086,0.056,,
0006034071RN1D0,251354585,1,2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0006034071RN1D0,251354585,2,2024-09-11,0.059,0.06,0.047,0.065,0.039,0.069,0.277,0.42,0.248,0.426,0.103,0.078,0.043,0.741,0.068,0.059,0.044,0.089,0.711,1.169,1.024,0.119,0.093,0.071,0.045,0.091,0.087,0.092,0.636,0.145,0.065,0.061,0.073,0.064,0.059,0.118,0.166,0.898,0.674,0.551,0.225,0.141,2.376,1.897,0.131,0.134,0.069,0.076,,
0006034071RN1D0,251354585,1,2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
